Location,Trailer Id,Owner,Hours,Type,Status,Load,Notes
PS714,879400,UPSS,23.562133055528005,TRAILER_SKIRTED,FULL,257474833,
PS716,876802,UPSS,24.159633055528005,TRAILER_SKIRTED,FULL,257257833,
PS717,949327,FDEG,7.342966388861338,TRAILER,FULL,257470833,
PS721,253846,OTHR,4.595466388861339,TRAILER_SKIRTED,FULL,256635833,
PS723,280975,AACT,24.602133055528004,TRAILER_PUP,FULL,255247833,Front Pup 
PS723,282281,AACT,24.602133055528004,TRAILER_PUP,FULL,255250833,Rear Pup 
PS724,535849,EXLA,23.764633055528005,TRAILER,FULL,253812833,
PS726,876572,UPSS,11.863244166639117,TRAILER_SKIRTED,FULL,257503833,
PS731,839009,UPSS,17.993799722194673,TRAILER_SKIRTED,FULL,257423833,
PS732,840557,UPSS,68.89018861108356,TRAILER_SKIRTED,FULL,256424833,85% parcel
PS901,180154,UPSS,17.49657749997245,TRAILER_SKIRTED,FULL,257502833,
PS902,V500889,AZNG,0.35768861108356054,TRAILER_SKIRTED,FULL,257026833,
PS902A,887195,UPSS,40.53991083330578,TRAILER_SKIRTED,FULL,256997833,5% parcel 
PS902B Pup Only,282599,AACT,21.585744166639117,TRAILER,FULL,255270833,
PS904,GD20827,OTHER,126.10991083330578,TRAILER_SKIRTED,FULL,255391833,60% palletized no actual tag in trailer
PS910,843827,UPSS,69.22491083330578,TRAILER_SKIRTED,FULL,256713833,95% parcel
PS911,827345,UPSS,47.037410833305785,TRAILER_SKIRTED,FULL,256981833,100% parcel 
T06,V521005,AZNG,171.98491083330578,TRAILER_SKIRTED,FULL,,60% palletized, single stackedISA 253383833 closed 9/27 03:28
T08,524312,EXLA,154.65796638886133,TRAILER_SKIRTED,FULL,,Physically Verified LOADED trailerISA 253810833 closed 9/28 22:43Seal#CLT270002501
HL601 PUP ONLY,V201163,AZNG,2058.5549108333057,TRAILER_PUP_SKIRT,EMPTY,,
HL601 PUP ONLY,V200249,AZNG,1158.3340774999724,TRAILER_PUP,EMPTY,,
HL607,56714,SMTA,67.11685527775023,TRAILER,EMPTY,,Check trailer 
HL608,V520952,AZNG,2.029633055528005,TRAILER_SKIRTED,FULL,1169FXD48,Non-Inventory Empty Yellow Totes
HL609,V506177,AZNG,0.6471330555280049,TRAILER_SKIRTED,FULL,115NH3BLH,Non-Inventory Empty Yellow Totes
HL621,100734,SWIF,26.704633055528006,TRAILER_INTERMODAL,FULL,111GQ9WP9,Non-inventory Empty Yellow Totes
HL629,33937,ZMXC,38.735744166639115,TRAILER_SKIRTED,FULL,1168LCYMN,Found in HL.  ISA 255621833 deleted.  Requested new ISA on FMC.
CH001,190346,OTHR,66.01629972219467,TRAILER_SKIRTED,EMPTY,,
CH001,539945,EXLA,59.514633055528,TRAILER,EMPTY,,
CH001,121730,RDFS,138.26379972219468,TRAILER_SKIRTED,EMPTY,,
CH001,ptlz191818,OTHR,115.82546638886134,TRAILER,EMPTY,,
CH001,amztl3719,EXLA,252.682133055528,TRAILER,EMPTY,,Case for removal 6478475681
CH001,4143860,IMPRK,492.24268861108357,TRAILER_INTERMODAL,EMPTY,,Case for removal 6467220291
CH001,12850,RDFS,71.94963305552801,TRAILER,EMPTY,,Case for removal 6480627191  
CH001,527355,EXLA,265.45796638886134,TRAILER_SKIRTED,EMPTY,,Case for removal 6478475681  
CH001,534562,AACT,23.463799722194672,TRAILER,EMPTY,,
CH001,219597,CRCR,31.04491083330578,TRAILER_SKIRTED,EMPTY,,PLCI? Live trailer
CH001,875807,UPSS,233.62935527775022,TRAILER,EMPTY,,
CH001,181718,UPSS,73.24407749997245,TRAILER_SKIRTED,EMPTY,,
CH001,827694,UPSS,51.09685527775023,TRAILER_SKIRTED,EMPTY,,
CH001,841539,UPSS,143.48935527775024,TRAILER_SKIRTED,EMPTY,,
CH001,550107,SEFL,58.44129972219467,TRAILER,EMPTY,,
CH001,521505,EXLA,156.65129972219466,TRAILER,EMPTY,,Case for removal 6478475681
STA001,793644,ODFL,15.995466388861338,TRAILER_INTERMODAL,EMPTY,,actually IMPRK
STA001,4132399,IMPIC,151.3399108333058,TRAILER_INTERMODAL,EMPTY,,
STA001,1044,FNKL,833.9204663888613,TRAILER,EMPTY,,
STA001,63133,SMMT,51.405466388861335,TRAILER_SKIRTED,EMPTY,,
STA001,2513590,IMPRK,225.33435527775023,TRAILER_INTERMODAL,EMPTY,,Case for removal 6467220291
STA001,9905248,IMPRK,155.88685527775021,TRAILER_INTERMODAL,EMPTY,,
STA001,453118,HMES,78.42935527775023,TRAILER_SKIRTED,EMPTY,,Case for removal 6480398031    
STA001,bh888,RBTW,318.509633055528,TRAILER_SKIRTED,EMPTY,,
